career,field,recommended_major,related_majors,soc_code,bls_occupation,early_career_salary,median_salary,experienced_salary,average_salary,education,description,skills,companies,industries,colleges_notable,nyc_colleges,college_notes,source_year,benchmark_area,salary_area,data_type,salary_mapping_note,salary_source,source_url,job_outlook,career_level_note
Civil Engineer,Engineering,Civil Engineering,Civil Engineering;Industrial Engineering;Systems Engineering;Materials Engineering;Aerospace Engineering,17-2051,Civil Engineers,76500,95890,123010,117890,Bachelor's degree,"Designs and oversees infrastructure such as roads, bridges, buildings, and water systems.",CAD;Structural Analysis;Physics;Engineering Design;Project Management,AECOM;Jacobs;Honeywell;RTX;General Electric,Infrastructure;Aerospace;Manufacturing;Energy;Systems Engineering,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172051.htm,"Demand is driven by the need to design, repair, and modernize roads, bridges, water systems, and other critical infrastructure.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Industrial Engineer,Engineering,Industrial Engineering,Civil Engineering;Industrial Engineering;Systems Engineering;Materials Engineering;Aerospace Engineering,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,"Improves systems involving people, technology, materials, information, and processes.",Optimization;Statistics;Data Analysis;Operations Research;Process Design;Python,AECOM;Jacobs;Honeywell;RTX;General Electric,Infrastructure;Aerospace;Manufacturing;Energy;Systems Engineering,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,"Organizations hire industrial engineers to make factories, warehouses, hospitals, and service systems more efficient and less costly.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Systems Engineer,Engineering,Systems Engineering,Civil Engineering;Industrial Engineering;Systems Engineering;Materials Engineering;Aerospace Engineering,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Coordinates complex technical systems by connecting hardware, software, requirements, and processes.",Systems Design;Requirements Analysis;Modeling;Testing;Project Management;Technical Communication,AECOM;Jacobs;Honeywell;RTX;General Electric,Infrastructure;Aerospace;Manufacturing;Energy;Systems Engineering,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"BLS does not publish Systems Engineer as a separate OEWS occupation; salary benchmarks use Engineers, All Other (17-2199).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,"Complex products in aerospace, defense, and technology need specialists who can connect hardware, software, requirements, and testing into one working system.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Materials Engineer,Engineering,Materials Engineering,Civil Engineering;Industrial Engineering;Systems Engineering;Materials Engineering;Aerospace Engineering,17-2131,Materials Engineers,80790,104100,133090,112890,Bachelor's degree,"Develops and tests metals, polymers, ceramics, composites, and other engineering materials.",Materials Science;Chemistry;Physics;Testing;Manufacturing;Data Analysis,AECOM;Jacobs;Honeywell;RTX;General Electric,Infrastructure;Aerospace;Manufacturing;Energy;Systems Engineering,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172131.htm,"Demand grows as industries seek stronger, lighter, and more durable metals, polymers, ceramics, and composites for advanced products.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Aerospace Engineer,Engineering,Aerospace Engineering,Civil Engineering;Industrial Engineering;Systems Engineering;Materials Engineering;Aerospace Engineering,17-2011,Aerospace Engineers,101730,130720,166610,140630,Bachelor's degree,"Designs and tests aircraft, spacecraft, satellites, propulsion systems, and related technology.",Aerodynamics;Physics;CAD;Mathematics;Simulation;Engineering Design,AECOM;Jacobs;Honeywell;RTX;General Electric,Infrastructure;Aerospace;Manufacturing;Energy;Systems Engineering,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172011.htm,"Airlines, space programs, and defense projects continue to need engineers who can design and test aircraft, spacecraft, and propulsion systems.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Electrical Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2071,Electrical Engineers,83200,106950,137140,119840,Bachelor's degree,"Designs, develops, and tests electrical equipment, systems, and components.",Circuits;Electronics;MATLAB;Power Systems;CAD;Signal Processing,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172071.htm,"Power systems, electronics, communications, and automation keep expanding, creating ongoing demand for electrical design and testing expertise.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Electronics Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2072,"Electronics Engineers, Except Computer",93380,119200,151610,134830,Bachelor's degree,"Designs electronic components, circuits, and systems used in communications, controls, and instrumentation.",Electronics;Circuit Design;Signals;PCB Design;Testing;MATLAB,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172072.htm,"Consumer devices, instrumentation, and communications equipment rely on engineers who can design and improve electronic circuits and components.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Power Systems Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2071,Electrical Engineers,83200,106950,137140,119840,Bachelor's degree,"Designs and analyzes systems used to generate, transmit, distribute, and manage electrical power.",Power Systems;Circuits;Electrical Machines;MATLAB;Grid Analysis;Control Systems,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Salary data is benchmarked to Electrical Engineers because BLS does not publish Power Systems Engineer separately.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172071.htm,"Utilities and energy companies need power-systems expertise to keep electricity generation, transmission, and distribution reliable and modern.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Controls Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2071,Electrical Engineers,83200,106950,137140,119840,Bachelor's degree,"Designs automated control systems for robots, manufacturing systems, machines, and equipment.",Control Systems;MATLAB;PLC Programming;Sensors;Electronics;Automation,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Salary data is benchmarked to Electrical Engineers because BLS does not publish Controls Engineer separately.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172071.htm,"Factories, robots, and automated equipment depend on controls engineers to design systems that monitor and adjust machines in real time.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
RF Engineer,Electrical Engineering,Electrical Engineering,Electrical Engineering;Electrical and Computer Engineering;Computer Engineering;Applied Physics,17-2072,"Electronics Engineers, Except Computer",93380,119200,151610,134830,Bachelor's degree,"Designs radio-frequency, wireless, radar, antenna, and communications systems.",Electromagnetics;RF Design;Antennas;Signals;MATLAB;Circuit Design,NVIDIA;Intel;AMD;Qualcomm;Texas Instruments;Apple,Semiconductors;Electronics;Power Systems;Telecommunications;Consumer Technology;Automation,MIT;Stanford University;UC Berkeley;Georgia Tech;UIUC;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Salary data is benchmarked to Electronics Engineers, Except Computer.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172072.htm,"Wireless networks, radar, antennas, and communications hardware create demand for engineers who specialize in radio-frequency systems.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
